source,target,weight,source_club,target_club
0,1,2,Mr. Hi,Mr. Hi
0,2,3,Mr. Hi,Mr. Hi
0,3,4,Mr. Hi,Mr. Hi
0,4,5,Mr. Hi,Mr. Hi
0,5,1,Mr. Hi,Mr. Hi
0,6,2,Mr. Hi,Mr. Hi
0,7,3,Mr. Hi,Mr. Hi
0,8,4,Mr. Hi,Mr. Hi
0,10,1,Mr. Hi,Mr. Hi
0,11,2,Mr. Hi,Mr. Hi
0,12,3,Mr. Hi,Mr. Hi
0,13,4,Mr. Hi,Mr. Hi
0,17,3,Mr. Hi,Mr. Hi
0,19,5,Mr. Hi,Mr. Hi
0,21,2,Mr. Hi,Mr. Hi
0,31,2,Mr. Hi,Officer
1,2,4,Mr. Hi,Mr. Hi
1,3,5,Mr. Hi,Mr. Hi
1,7,4,Mr. Hi,Mr. Hi
1,13,5,Mr. Hi,Mr. Hi
1,17,4,Mr. Hi,Mr. Hi
1,19,1,Mr. Hi,Mr. Hi
1,21,3,Mr. Hi,Mr. Hi
1,30,2,Mr. Hi,Officer
2,3,1,Mr. Hi,Mr. Hi
2,7,5,Mr. Hi,Mr. Hi
2,8,1,Mr. Hi,Mr. Hi
2,9,2,Mr. Hi,Officer
2,13,1,Mr. Hi,Mr. Hi
2,27,5,Mr. Hi,Officer
2,28,1,Mr. Hi,Officer
2,32,5,Mr. Hi,Officer
3,7,1,Mr. Hi,Mr. Hi
3,12,1,Mr. Hi,Mr. Hi
3,13,2,Mr. Hi,Mr. Hi
4,6,1,Mr. Hi,Mr. Hi
4,10,5,Mr. Hi,Mr. Hi
5,6,2,Mr. Hi,Mr. Hi
5,10,1,Mr. Hi,Mr. Hi
5,16,2,Mr. Hi,Mr. Hi
6,16,3,Mr. Hi,Mr. Hi
8,30,4,Mr. Hi,Officer
8,32,1,Mr. Hi,Officer
8,33,2,Mr. Hi,Officer
9,33,3,Officer,Officer
13,33,2,Mr. Hi,Officer
14,32,2,Officer,Officer
14,33,3,Officer,Officer
15,32,3,Officer,Officer
15,33,4,Officer,Officer
18,32,1,Officer,Officer
18,33,2,Officer,Officer
19,33,3,Mr. Hi,Officer
20,32,3,Officer,Officer
20,33,4,Officer,Officer
22,32,5,Officer,Officer
22,33,1,Officer,Officer
23,25,4,Officer,Officer
23,27,1,Officer,Officer
23,29,3,Officer,Officer
23,32,1,Officer,Officer
23,33,2,Officer,Officer
24,25,5,Officer,Officer
24,27,2,Officer,Officer
24,31,1,Officer,Officer
25,31,2,Officer,Officer
26,29,1,Officer,Officer
26,33,5,Officer,Officer
27,33,1,Officer,Officer
28,31,5,Officer,Officer
28,33,2,Officer,Officer
29,32,2,Officer,Officer
29,33,3,Officer,Officer
30,32,3,Officer,Officer
30,33,4,Officer,Officer
31,32,4,Officer,Officer
31,33,5,Officer,Officer
32,33,1,Officer,Officer
